Sample,mcg,gvh,alm,mit,erl,pox,vac,nuc,Class
1,0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,non-CYT
2,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,non-CYT
3,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,non-CYT
4,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,non-CYT
5,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,non-CYT
6,0.51,0.4,0.56,0.17,0.5,0.5,0.49,NA,CYT
7,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,non-CYT
8,NA,0.45,0.59,0.2,0.5,0,0.58,0.34,non-CYT
9,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,non-CYT
10,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,CYT
11,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,non-CYT
12,0.42,0.37,0.59,NA,0.5,0,0.52,0.29,non-CYT
13,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,CYT
14,0.6,0.4,0.52,0.46,0.5,0,0.53,0.22,non-CYT
15,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,non-CYT
16,0.46,0.44,0.52,0.11,NA,0,0.5,0.22,CYT
17,0.47,0.39,NA,0.11,0.5,0,0.49,0.4,CYT
18,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,non-CYT
19,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,non-CYT
20,0.61,0.6,0.55,0.21,NA,0,0.5,0.25,non-CYT
21,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,CYT
22,0.43,0.44,0.48,0.22,0.5,0,NA,0.22,CYT
23,0.73,0.63,0.42,NA,0.5,0,0.49,0.22,CYT
24,0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,CYT
25,0.46,0.53,0.52,NA,0.5,0,0.58,0.22,CYT
26,0.51,0.51,NA,0.51,0.5,0,0.54,0.22,non-CYT
27,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,CYT
28,NA,0.47,0.6,0.18,0.5,0,0.51,0.22,CYT
